id,name,count
1886,clock,56
1889,collar,44
1890,ruff,14
1894,spine,4
1896,"Blake, William",3
1898,life mask,1
1899,ceremonial rattle,1
1900,ceremonial trident,1
1901,headdress,121
1902,Native American,24
1905,sun worship,1
1907,"fire, open",58
1908,"South America, Spanish conquest, 16th c.",1
1909,"Canyon of Death, massacre, 16th c.",1
1910,"USA, Arizona",5
1911,Canyon of Chelly,1
1912,"Pogany, Margit",1
1913,"Mills, Juliet Yardley",3
1914,Danad,1
1915,St Anthony,5
1917,"Northampton, Helena Snakenborg, Marchioness of",1
1918,carnation,5
1920,hermit,5
1922,"Unton, Henry, Sir",1
1924,diplomat,9
1926,"instrument, mandora",1
1927,palace,437
1929,Florence - non-specific,72
1930,Apennines,26
1932,"West, Julia",1
1935,Bluebeard,2
1936,washing line,32
1937,laundry,61
1938,roller skating,1
1939,quill pen,27
1941,"Rome, Trastevere",1
1942,Seven Deadly Sins,9
1945,"Style, William, of Langley",1
1946,lawyer,30
1947,"Counter Reformation, circa 1560-1648",1
1948,Christian Church - walled garden,1
1951,flask,28
1956,"Downe, Thomas Pope, 3rd Earl of",1
1957,name of sitter,45
1958,"Aston, Gertrude Sadler, Lady",1
1959,"Sadler, Gertrude, Lady",1
1960,date,94
1962,"Tanfield, Elizabeth, Lady",1
1963,shawl,76
1964,pansy,7
1966,rape,13
1967,"Morton, Anne Wortley, Lady",1
1968,violence,121
1969,"Wortley, Anne",1
1970,handkerchief,8
1971,Hampstead Heath - non-specific,10
1972,"constellation, Great Bear",2
1973,Zeus / Jupiter,20
1974,Callisto,2
1977,mask,132
1978,trident,12
1979,puffin,3
1981,blackboard,18
1982,notes and diagrams,256
1985,display case / vitrine,34
1986,title of work,262
1987,fat,13
1989,thermometer,1
1990,metal cutter,2
1993,bee,10
1995,life - fat,3
1996,warmth - beeswax,1
1998,felt,18
2000,metal,7
2004,male - iron,1
2005,female - copper,1
2008,"Worth Matravers, Seacombe Quarry",1
2009,"fruit, pear",23
2013,can opener,2
2014,electricity,5
2015,battery,4
2016,phrase,75
2018,religious,17
2019,scroll,23
2020,plaque,40
2021,crossbow,2
2022,"Felpham, The Turret",1
2023,"Sussex, West",256
2024,bow,47
2025,arrow,52
2026,"Felpham, St Mary's Church",1
2027,Bacchus,14
2028,Ariadne,7
2030,windmill,304
2031,Heaven,33
2033,attacking,146
2034,Heaven - sunbeam,1
2036,"Hardy, Thomas",3
2037,redemption,5
2039,paganism - classical ruins,1
2040,Dieppe - non-specific,38
2041,Phathon,1
2042,pier,313
2043,lighthouse,274
2045,railing,60
2046,"Blamey, Norman",1
2050,toilet,10
2051,capital,101
2052,toilet paper,5
2053,lavatory,6
2055,altar server,2
2057,vestments,30
2058,throne,30
2063,artist's notes,1537
2065,ordination,3
2066,"drink, rum",2
2068,corbel,17
2069,"instrument, clarinet",7
2070,St Pancras Old Church,1
2072,Mass,1
2073,nail,11
2076,jug,202
2078,altar,63
2079,candlestick,32
2083,"Blamey, Margaret",1
2084,"Blamey, Stephen",1
2085,hands crossed,27
2087,bank,683
2089,lobster,7
2090,wallpaper,38
2092,"Greenwich, Royal Observatory",5
2093,Littlehampton,3
2094,fisherman / fisherwoman,266
2095,fishing net,99
2096,Pisa - non-specific,3
2097,Livorno - non-specific,13
2100,chicken,55
2101,trough,9
2102,Dutch,7
2104,wave,636
2105,Sheerness,13
2108,"Kingsley, Charles, 'A Saint's Tragedy'",1
2111,medieval,888
2112,crucifix,39
2113,friar / monk,75
2114,nun,31
2119,St Elizabeth,7
2120,Cheshire,64
2123,"politics: Jacobites, c.1688-1745",9
2124,"Psalms, 18",1
2125,Seven Eyes of God,1
2126,floating,35
2127,rope,36
2128,"Hervey, James, 'Meditations among the Tombs'",1
2129,"Hervey, James",1
2130,Scotland,50
2131,Scottish,17
